generation,fitness,win_rate,sigma,gen_time,cumulative_time,cumulative_minutes
0,67.58,76.3,0.2755,11.4,11.4,0.19
1,70.3,79.3,0.2616,11.5,22.9,0.38166666666666665
2,70.3,79.3,0.2558,11.5,34.4,0.5733333333333334
3,75.0,82.3,0.252,11.5,45.9,0.765
4,82.58,87.9,0.2605,10.7,56.599999999999994,0.9433333333333332
5,82.58,87.9,0.2768,11.2,67.8,1.13
6,85.15,89.9,0.3007,10.3,78.1,1.3016666666666665
7,85.15,89.9,0.3323,11.0,89.1,1.4849999999999999
8,85.15,89.9,0.3499,10.8,99.89999999999999,1.6649999999999998
9,86.97,90.9,0.3572,11.3,111.19999999999999,1.853333333333333
10,86.97,90.9,0.3611,11.1,122.29999999999998,2.038333333333333
11,86.97,90.9,0.365,11.2,133.49999999999997,2.2249999999999996
12,86.97,90.9,0.3493,11.9,145.39999999999998,2.423333333333333
13,86.97,90.9,0.3408,11.0,156.39999999999998,2.6066666666666665
14,86.97,90.9,0.3544,10.8,167.2,2.7866666666666666
15,86.97,90.9,0.357,10.7,177.89999999999998,2.9649999999999994
16,90.0,92.4,0.3645,11.0,188.89999999999998,3.148333333333333
17,90.0,92.4,0.3717,10.6,199.49999999999997,3.3249999999999997
18,90.0,92.4,0.3615,11.0,210.49999999999997,3.508333333333333
19,90.0,92.4,0.3457,11.1,221.59999999999997,3.693333333333333
20,90.0,92.4,0.3239,11.3,232.89999999999998,3.8816666666666664
21,90.0,92.4,0.3282,11.6,244.49999999999997,4.074999999999999
22,90.0,92.4,0.331,11.1,255.59999999999997,4.26
23,90.0,92.4,0.3258,11.0,266.59999999999997,4.4433333333333325
24,90.0,92.4,0.3134,11.4,277.99999999999994,4.633333333333332
25,90.0,92.4,0.3022,10.9,288.8999999999999,4.814999999999999
26,90.0,92.4,0.2952,11.2,300.0999999999999,5.001666666666665
27,90.0,92.4,0.2889,11.4,311.4999999999999,5.191666666666665
28,90.0,92.4,0.2825,10.9,322.39999999999986,5.373333333333331
29,90.0,92.4,0.2807,10.9,333.29999999999984,5.554999999999997
30,90.0,92.4,0.2715,11.1,344.39999999999986,5.7399999999999975
31,90.0,92.4,0.2682,10.9,355.29999999999984,5.921666666666664
32,90.0,92.4,0.2624,11.2,366.49999999999983,6.108333333333331
33,90.0,92.4,0.2552,11.1,377.59999999999985,6.293333333333331
34,90.0,92.4,0.2532,11.0,388.59999999999985,6.476666666666664
35,90.0,92.4,0.25,10.8,399.39999999999986,6.6566666666666645
36,90.0,92.4,0.2539,11.7,411.09999999999985,6.851666666666664
37,90.0,92.4,0.2553,11.1,422.1999999999999,7.036666666666664
38,90.0,92.4,0.2509,10.8,432.9999999999999,7.216666666666665
39,90.0,92.4,0.2443,10.7,443.6999999999999,7.394999999999998
40,90.0,92.4,0.2457,10.9,454.59999999999985,7.576666666666664
41,90.0,92.4,0.2423,11.2,465.79999999999984,7.763333333333331
